date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:30	562790/562790	---MC-	200	added ('OK')	image/jpeg	etag:%22424fe07e1d7502f898c035c9e8a84c70%22	https://framerusercontent.com/images/R84IjjWIM9LGPSTUT6xDg5XHh4.jpg?scale-down-to=2048	E:/proto/proto/framerusercontent.com/images/R84IjjWIM9LGPSTUT6xDg5XHh49ae5.jpg	(from https://porto-template.framer.website/)
18:16:31	345574/345574	---MC-	200	added ('OK')	image/jpeg	etag:%2234ce6bbb0ba72075b5ec2f6f1e61fd8a%22	https://framerusercontent.com/images/OATXG2GnXto6ab0AfvxOG7cKU.jpg?scale-down-to=2048	E:/proto/proto/framerusercontent.com/images/OATXG2GnXto6ab0AfvxOG7cKU9ae5.jpg	(from https://porto-template.framer.website/)
18:16:31	540047/540047	---MC-	200	added ('OK')	image/jpeg	etag:%22b30f7d07d54b473e7b49b4937640202a%22	https://framerusercontent.com/images/tFHhhUtMBpyKrQOMIiUcurylcQ.jpg?scale-down-to=2048	E:/proto/proto/framerusercontent.com/images/tFHhhUtMBpyKrQOMIiUcurylcQ9ae5.jpg	(from https://porto-template.framer.website/)
18:16:31	840463/840463	---MC-	200	added ('OK')	image/png	etag:%22558a37c470e9a28d59f8a5fc0590b004%22	https://framerusercontent.com/images/4GeZH9tDnTqh21vfDk8tqPUurU.jpg?scale-down-to=2048	E:/proto/proto/framerusercontent.com/images/4GeZH9tDnTqh21vfDk8tqPUurU9ae5.png	(from https://porto-template.framer.website/)
18:16:32	426087/426087	---MC-	200	added ('OK')	image/jpeg	etag:%221cfd69fb6320a55b7155ca9d3b9e7ec9%22	https://framerusercontent.com/images/5Vg5yv5EupF47u9k0JSlIej05kk.jpg?scale-down-to=2048	E:/proto/proto/framerusercontent.com/images/5Vg5yv5EupF47u9k0JSlIej05kk9ae5.jpg	(from https://porto-template.framer.website/)
18:16:32	263787/263787	---MC-	200	added ('OK')	image/jpeg	etag:%22a5a866cf4ba4fc3fb0b6fe80da7c724e%22	https://framerusercontent.com/images/TwPnCUkRbYkKlfJL4ZCaWKgdY.jpg?scale-down-to=2048	E:/proto/proto/framerusercontent.com/images/TwPnCUkRbYkKlfJL4ZCaWKgdY9ae5.jpg	(from https://porto-template.framer.website/)
18:16:33	686281/686281	---MC-	200	added ('OK')	image/jpeg	etag:%2240d1032f5d58c36e1d3733a4e01f9e89%22	https://framerusercontent.com/images/xcxQQ1waNtZJqJFNv1uOoAOs.jpg	E:/proto/proto/framerusercontent.com/images/xcxQQ1waNtZJqJFNv1uOoAOs.jpg	(from https://porto-template.framer.website/)
18:16:33	529018/529018	---MC-	200	added ('OK')	image/jpeg	etag:%22094dfe6d6aeb163764e7ab54ca314b29%22	https://framerusercontent.com/images/JwJTxroeEh0a7U32iDMSI6d6R8.jpg	E:/proto/proto/framerusercontent.com/images/JwJTxroeEh0a7U32iDMSI6d6R8.jpg	(from https://porto-template.framer.website/)
18:16:33	2067296/2067296	---MC-	200	added ('OK')	image/jpeg	etag:%2238b579f39524b021eaf58a76c875e6eb%22	https://framerusercontent.com/images/CkRGbZ3Tef83yc5ibFgim9s6w.jpg	E:/proto/proto/framerusercontent.com/images/CkRGbZ3Tef83yc5ibFgim9s6w.jpg	(from https://porto-template.framer.website/)
18:16:34	1429411/1429411	---MC-	200	added ('OK')	image/jpeg	etag:%2260c9b1175b3eeb7fc1f779082d2c398d%22	https://framerusercontent.com/images/edesi3zrngnOaaFS0ZO0deHO8W0.jpg	E:/proto/proto/framerusercontent.com/images/edesi3zrngnOaaFS0ZO0deHO8W0.jpg	(from https://porto-template.framer.website/)
